datetime,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2015-01-01 00:00:00,0.0,7.71,100.0,0.51
2015-01-01 01:00:00,0.0,7.34,100.0,0.46
2015-01-01 02:00:00,0.0,7.07,100.0,0.29
2015-01-01 03:00:00,0.0,6.83,100.0,0.13
2015-01-01 04:00:00,0.0,6.43,100.0,0.31
2015-01-01 05:00:00,0.0,5.98,100.0,0.45
2015-01-01 06:00:00,26.33,6.09,100.0,0.56
2015-01-01 07:00:00,208.73,8.56,84.15,0.67
2015-01-01 08:00:00,408.12,12.84,51.54,1.0
2015-01-01 09:00:00,574.5,15.84,35.54,1.18
2015-01-01 10:00:00,675.03,17.78,29.29,1.23
2015-01-01 11:00:00,745.75,19.0,26.39,1.32
2015-01-01 12:00:00,705.25,19.5,25.5,1.45
2015-01-01 13:00:00,620.47,19.32,26.41,1.56
2015-01-01 14:00:00,462.48,18.5,28.74,1.59
2015-01-01 15:00:00,266.4,17.08,32.54,1.39
2015-01-01 16:00:00,83.1,14.34,48.7,0.73
2015-01-01 17:00:00,0.0,10.94,60.17,0.48
2015-01-01 18:00:00,0.0,9.6,65.25,0.63
2015-01-01 19:00:00,0.0,8.42,69.51,0.78
2015-01-01 20:00:00,0.0,7.51,71.44,0.89
2015-01-01 21:00:00,0.0,6.66,72.67,0.98
2015-01-01 22:00:00,0.0,5.84,74.56,1.05
2015-01-01 23:00:00,0.0,5.12,78.49,1.11
2015-01-02 00:00:00,0.0,4.54,85.08,1.17
2015-01-02 01:00:00,0.0,4.27,92.25,1.18
2015-01-02 02:00:00,0.0,4.26,97.59,1.12
2015-01-02 03:00:00,0.0,4.27,100.0,1.03
2015-01-02 04:00:00,0.0,4.25,100.0,0.99
2015-01-02 05:00:00,0.0,4.07,100.0,0.98
2015-01-02 06:00:00,29.42,4.9,100.0,0.9
2015-01-02 07:00:00,215.02,8.88,82.65,1.75
2015-01-02 08:00:00,414.12,12.1,61.97,2.14
2015-01-02 09:00:00,568.4,14.47,49.6,2.36
2015-01-02 10:00:00,662.67,16.16,43.93,2.58
2015-01-02 11:00:00,770.3,17.2,41.38,2.79
2015-01-02 12:00:00,691.88,17.51,41.25,2.93
2015-01-02 13:00:00,549.72,17.09,43.19,3.03
2015-01-02 14:00:00,387.23,16.2,46.34,2.88
2015-01-02 15:00:00,233.85,15.17,49.17,2.56
2015-01-02 16:00:00,66.62,13.07,57.87,1.63
2015-01-02 17:00:00,0.0,9.7,74.56,0.8
2015-01-02 18:00:00,0.0,8.66,78.96,0.8
2015-01-02 19:00:00,0.0,7.86,82.06,0.89
2015-01-02 20:00:00,0.0,7.06,85.27,0.99
2015-01-02 21:00:00,0.0,6.44,88.24,1.09
2015-01-02 22:00:00,0.0,5.98,90.68,1.12
2015-01-02 23:00:00,0.0,5.56,93.47,1.08
2015-01-03 00:00:00,0.0,5.37,95.35,1.04
2015-01-03 01:00:00,0.0,5.14,97.53,1.01
2015-01-03 02:00:00,0.0,4.92,99.55,1.03
2015-01-03 03:00:00,0.0,4.72,100.0,1.06
2015-01-03 04:00:00,0.0,4.65,100.0,1.04
2015-01-03 05:00:00,0.0,4.48,100.0,1.01
2015-01-03 06:00:00,25.4,5.02,99.44,1.03
2015-01-03 07:00:00,186.48,7.99,82.1,1.82
2015-01-03 08:00:00,363.1,10.71,67.2,2.23
2015-01-03 09:00:00,482.83,13.02,54.2,2.49
2015-01-03 10:00:00,582.1,14.43,47.83,2.49
2015-01-03 11:00:00,569.65,15.01,45.82,2.39
2015-01-03 12:00:00,552.1,15.12,46.01,2.28
2015-01-03 13:00:00,445.83,15.04,47.06,2.16
2015-01-03 14:00:00,306.1,14.89,47.87,1.85
2015-01-03 15:00:00,180.73,14.34,49.77,1.34
2015-01-03 16:00:00,50.55,12.5,63.12,0.55
2015-01-03 17:00:00,0.0,11.0,64.77,0.58
2015-01-03 18:00:00,0.0,11.12,60.7,0.37
2015-01-03 19:00:00,0.0,11.04,58.88,0.14
2015-01-03 20:00:00,0.0,10.56,59.86,0.36
2015-01-03 21:00:00,0.0,10.08,60.95,0.38
2015-01-03 22:00:00,0.0,9.61,62.19,0.3
2015-01-03 23:00:00,0.0,8.99,64.22,0.28
2015-01-04 00:00:00,0.0,8.39,66.34,0.35
2015-01-04 01:00:00,0.0,7.78,68.9,0.52
2015-01-04 02:00:00,0.0,7.31,71.14,0.63
2015-01-04 03:00:00,0.0,6.67,74.7,0.73
2015-01-04 04:00:00,0.0,5.51,81.09,0.81
2015-01-04 05:00:00,0.0,4.33,88.27,0.86
2015-01-04 06:00:00,16.23,3.99,92.71,0.66
2015-01-04 07:00:00,113.07,8.16,74.83,1.27
2015-01-04 08:00:00,242.75,11.98,61.47,1.81
2015-01-04 09:00:00,413.0,14.46,51.77,2.09
2015-01-04 10:00:00,472.67,16.1,45.85,2.12
2015-01-04 11:00:00,582.88,17.19,42.19,2.01
2015-01-04 12:00:00,569.28,17.66,40.33,1.97
2015-01-04 13:00:00,490.6,17.42,40.79,1.99
2015-01-04 14:00:00,358.65,16.82,42.62,1.99
2015-01-04 15:00:00,201.73,15.59,47.86,2.01
2015-01-04 16:00:00,59.17,13.08,64.03,2.02
2015-01-04 17:00:00,0.0,10.18,76.0,2.19
2015-01-04 18:00:00,0.0,8.89,81.29,2.36
2015-01-04 19:00:00,0.0,7.82,84.42,2.46
2015-01-04 20:00:00,0.0,6.53,88.19,2.43
2015-01-04 21:00:00,0.0,5.54,90.09,2.37
2015-01-04 22:00:00,0.0,4.81,90.88,2.26
2015-01-04 23:00:00,0.0,4.2,91.07,2.23
2015-01-05 00:00:00,0.0,3.55,91.97,2.13
2015-01-05 01:00:00,0.0,2.97,92.16,2.07
2015-01-05 02:00:00,0.0,2.56,91.45,1.84
2015-01-05 03:00:00,0.0,2.26,91.1,1.67
2015-01-05 04:00:00,0.0,2.11,90.93,1.61
2015-01-05 05:00:00,0.0,2.35,90.25,1.5
2015-01-05 06:00:00,19.9,2.7,89.38,1.44
2015-01-05 07:00:00,149.93,4.8,81.04,1.69
2015-01-05 08:00:00,309.12,7.98,72.26,1.89
2015-01-05 09:00:00,426.62,10.81,64.23,2.15
2015-01-05 10:00:00,454.95,13.26,56.25,2.26
2015-01-05 11:00:00,357.2,14.99,50.85,2.29
2015-01-05 12:00:00,268.27,15.67,49.9,2.28
2015-01-05 13:00:00,214.85,14.83,54.4,2.27
2015-01-05 14:00:00,170.6,13.23,60.9,2.31
2015-01-05 15:00:00,109.53,11.52,67.31,2.31
2015-01-05 16:00:00,36.85,9.77,73.72,2.17
2015-01-05 17:00:00,0.0,8.07,80.42,1.9
2015-01-05 18:00:00,0.0,6.7,86.07,1.68
2015-01-05 19:00:00,0.0,5.49,90.98,1.36
2015-01-05 20:00:00,0.0,4.62,93.58,1.32
2015-01-05 21:00:00,0.0,4.18,93.59,1.46
2015-01-05 22:00:00,0.0,3.78,94.13,1.55
2015-01-05 23:00:00,0.0,3.36,94.92,1.4
2015-01-06 00:00:00,0.0,3.16,94.97,1.4
2015-01-06 01:00:00,0.0,2.95,95.38,1.27
2015-01-06 02:00:00,0.0,2.99,93.98,1.23
2015-01-06 03:00:00,0.0,2.74,94.09,0.98
2015-01-06 04:00:00,0.0,2.48,95.4,0.9
2015-01-06 05:00:00,0.0,2.26,96.12,0.83
2015-01-06 06:00:00,22.95,2.82,93.38,0.78
2015-01-06 07:00:00,177.9,6.03,78.97,1.3
2015-01-06 08:00:00,357.8,9.77,66.48,1.59
2015-01-06 09:00:00,529.0,13.14,54.11,1.85
2015-01-06 10:00:00,552.12,15.42,46.64,1.8
2015-01-06 11:00:00,475.2,16.91,42.35,1.7
2015-01-06 12:00:00,384.98,17.59,40.82,1.61
2015-01-06 13:00:00,378.08,17.38,41.82,1.48
2015-01-06 14:00:00,271.08,16.54,44.98,1.34
2015-01-06 15:00:00,126.95,15.19,50.98,1.19
2015-01-06 16:00:00,42.3,13.21,63.33,0.99
2015-01-06 17:00:00,0.0,11.13,75.18,1.17
2015-01-06 18:00:00,0.0,9.69,83.23,1.27
2015-01-06 19:00:00,0.0,8.78,87.48,1.28
2015-01-06 20:00:00,0.0,8.05,90.7,1.18
2015-01-06 21:00:00,0.0,7.45,93.19,1.02
2015-01-06 22:00:00,0.0,6.78,95.85,0.82
2015-01-06 23:00:00,0.0,6.17,97.67,0.72
2015-01-07 00:00:00,0.0,5.89,96.85,0.76
2015-01-07 01:00:00,0.0,5.61,96.22,0.79
2015-01-07 02:00:00,0.0,5.36,96.55,0.82
2015-01-07 03:00:00,0.0,4.93,98.25,0.88
2015-01-07 04:00:00,0.0,4.72,98.74,0.84
2015-01-07 05:00:00,0.0,4.4,99.15,0.86
2015-01-07 06:00:00,21.35,4.75,96.12,1.13
2015-01-07 07:00:00,161.07,6.5,86.55,1.69
2015-01-07 08:00:00,345.12,8.56,75.02,2.08
2015-01-07 09:00:00,537.1,10.78,62.4,2.29
2015-01-07 10:00:00,690.22,12.81,51.55,2.25
2015-01-07 11:00:00,809.75,14.26,45.31,2.12
2015-01-07 12:00:00,805.85,15.11,42.65,2.09
2015-01-07 13:00:00,700.5,15.56,42.09,2.19
2015-01-07 14:00:00,531.95,15.55,43.06,2.33
2015-01-07 15:00:00,329.23,14.63,46.99,2.44
2015-01-07 16:00:00,113.07,12.07,59.81,2.18
2015-01-07 17:00:00,0.0,8.8,77.1,2.02
2015-01-07 18:00:00,0.0,8.06,83.57,2.18
2015-01-07 19:00:00,0.0,7.15,90.16,2.33
2015-01-07 20:00:00,0.0,6.12,94.66,2.31
2015-01-07 21:00:00,0.0,5.46,96.17,2.49
2015-01-07 22:00:00,0.0,5.33,96.36,2.78
2015-01-07 23:00:00,0.0,5.54,96.27,3.0
2015-01-08 00:00:00,0.0,5.63,96.4,3.12
2015-01-08 01:00:00,0.0,5.6,96.4,3.22
2015-01-08 02:00:00,0.0,5.43,95.76,3.28
2015-01-08 03:00:00,0.0,5.06,94.99,3.11
2015-01-08 04:00:00,0.0,4.7,94.78,2.9
2015-01-08 05:00:00,0.0,4.42,94.39,2.84
2015-01-08 06:00:00,19.8,4.29,93.41,2.75
2015-01-08 07:00:00,136.02,5.21,86.02,2.85
2015-01-08 08:00:00,278.58,7.3,73.44,2.77
2015-01-08 09:00:00,405.75,9.8,60.69,2.44
2015-01-08 10:00:00,547.97,12.07,51.87,2.07
2015-01-08 11:00:00,499.83,13.76,46.3,1.6
2015-01-08 12:00:00,491.02,14.7,43.45,1.05
2015-01-08 13:00:00,468.9,14.63,43.69,0.73
2015-01-08 14:00:00,339.83,14.1,45.71,0.65
2015-01-08 15:00:00,200.15,13.26,49.61,0.56
2015-01-08 16:00:00,66.97,11.52,62.05,0.41
2015-01-08 17:00:00,0.0,9.46,73.36,0.19
2015-01-08 18:00:00,0.0,8.57,78.83,0.12
2015-01-08 19:00:00,0.0,7.84,82.42,0.04
2015-01-08 20:00:00,0.0,7.43,84.74,0.09
2015-01-08 21:00:00,0.0,7.16,86.19,0.16
2015-01-08 22:00:00,0.0,6.8,87.97,0.21
2015-01-08 23:00:00,0.0,6.55,89.36,0.23
2015-01-09 00:00:00,0.0,6.42,89.89,0.27
2015-01-09 01:00:00,0.0,6.02,91.99,0.33
2015-01-09 02:00:00,0.0,5.7,93.62,0.25
2015-01-09 03:00:00,0.0,5.34,95.32,0.22
2015-01-09 04:00:00,0.0,4.95,96.88,0.28
2015-01-09 05:00:00,0.0,4.64,97.37,0.35
2015-01-09 06:00:00,23.55,5.03,93.85,0.27
2015-01-09 07:00:00,203.82,8.54,74.31,0.23
2015-01-09 08:00:00,411.45,12.14,52.98,0.56
2015-01-09 09:00:00,539.92,13.88,45.39,0.81
2015-01-09 10:00:00,609.97,14.74,42.33,0.78
2015-01-09 11:00:00,583.67,15.19,40.86,0.69
2015-01-09 12:00:00,616.78,15.35,40.53,0.55
2015-01-09 13:00:00,483.42,15.09,41.67,0.39
2015-01-09 14:00:00,347.3,14.51,44.19,0.34
2015-01-09 15:00:00,205.73,13.54,49.0,0.48
2015-01-09 16:00:00,68.57,12.08,61.21,0.55
